number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
35,0.40992861191850255,2026-03-11 19:30:54.727418,2026-03-11 19:30:55.562413,0 days 00:00:00.834995,0.8230506937290182,1.0637590734219189,0.015225060744849677,2,5.948842328097086,400,0.00045195425916746436,0.016687679940784923,0.7684773712649408,COMPLETE
36,0.42342599676499404,2026-03-11 19:30:55.563415,2026-03-11 19:30:56.640012,0 days 00:00:01.076597,0.752945281523919,4.653661281128189,0.03229532722805567,7,2.3524583268561297,550,0.0024325677141646056,0.0016287573720264942,0.867096559088683,COMPLETE
37,0.4174292162732075,2026-03-11 19:30:56.640012,2026-03-11 19:30:57.842564,0 days 00:00:01.202552,0.7482019074180932,4.956603172027869,0.033224669501432325,7,2.2630010836878203,700,0.002178674599735163,0.08058750148068157,0.8740679659140747,COMPLETE
38,0.4101632833609961,2026-03-11 19:30:57.843567,2026-03-11 19:30:59.154691,0 days 00:00:01.311124,0.6831564852156107,4.975937257780469,0.035391523711118096,7,1.6355075629548161,750,0.001364678956420291,0.001525035984945098,0.8838170012165926,COMPLETE
39,0.4151906605666433,2026-03-11 19:30:59.155692,2026-03-11 19:31:00.292577,0 days 00:00:01.136885,0.7430651069360128,4.630629260499408,0.04563020582282899,7,1.232506001628561,600,0.002160146350322412,0.0299338282785934,0.8505862785762642,COMPLETE
40,0.41392185477558047,2026-03-11 19:31:00.293581,2026-03-11 19:31:01.401459,0 days 00:00:01.107878,0.6622888045212691,4.682007480675022,0.029503134380493245,6,1.7686693218701095,650,0.00041886970379587297,0.0055298431476012945,0.8747480020718338,COMPLETE
41,0.42048272986252855,2026-03-11 19:31:01.402460,2026-03-11 19:31:02.351058,0 days 00:00:00.948598,0.7444386324676056,4.71689757492779,0.049804966743446207,7,1.2793735793420666,600,0.002034679727186764,0.02871851774323259,0.843561168529883,COMPLETE
42,0.41819586352708316,2026-03-11 19:31:02.351058,2026-03-11 19:31:03.246588,0 days 00:00:00.895530,0.751739018789231,4.780484075654461,0.04839822278128564,7,2.1983914245549756,550,0.002546002243896141,0.012955239496703548,0.8488251750588097,COMPLETE
43,0.41560016258901744,2026-03-11 19:31:03.247588,2026-03-11 19:31:04.561036,0 days 00:00:01.313448,0.7514557433957457,4.983600106050274,0.06808026602476158,7,1.2248772324643205,950,0.0075032422353690596,0.07946112019313793,0.8479462550156058,COMPLETE
44,0.41458357247375693,2026-03-11 19:31:04.561036,2026-03-11 19:31:05.651304,0 days 00:00:01.090268,0.7239129703059448,4.720438886976222,0.05272944953257104,8,2.246868474513466,750,0.0035270066730439674,0.18639354176828782,0.8927990853352344,COMPLETE
45,0.40501622283214556,2026-03-11 19:31:05.652305,2026-03-11 19:31:06.694563,0 days 00:00:01.042258,0.7046000469315186,2.202858728190467,0.07137113436589784,8,1.4679772623974507,600,0.04994853087599142,0.012311028842473567,0.9303769063123224,COMPLETE
46,0.4172302313410703,2026-03-11 19:31:06.694563,2026-03-11 19:31:07.752681,0 days 00:00:01.058118,0.6651066111925574,4.741288843953148,0.04842092067118067,7,1.6710288834783904,700,0.0012059561177802684,0.04363827657534334,0.824594777487463,COMPLETE
47,0.4069327179762922,2026-03-11 19:31:07.753684,2026-03-11 19:31:09.004663,0 days 00:00:01.250979,0.7314145206560488,4.132599069734169,0.03805811823722597,6,3.563269729776694,800,0.0005420764886182939,2.2060337468815363,0.85096607243692,COMPLETE
48,0.41461459201361694,2026-03-11 19:31:09.004663,2026-03-11 19:31:10.149868,0 days 00:00:01.145205,0.7559209233097854,3.846628465192978,0.02505276590721047,7,2.0221705494052675,650,0.0001571098849076029,0.4419977454456991,0.864844580282925,COMPLETE
49,0.41691530891511086,2026-03-11 19:31:10.150869,2026-03-11 19:31:11.081264,0 days 00:00:00.930395,0.6857692616760646,4.9713912323430005,0.03381264240842067,6,2.336944147429074,550,0.15427738139895616,0.027201565808675242,0.8937139399674218,COMPLETE
50,0.3900901569663038,2026-03-11 19:31:11.082766,2026-03-11 19:31:12.225715,0 days 00:00:01.142949,0.6456837944783227,1.3622341494128274,0.0727616946278959,7,1.1730759058298224,500,0.00026216268573320885,0.16655210762276557,0.8118449536213603,COMPLETE
51,0.41356647245477224,2026-03-11 19:31:12.225715,2026-03-11 19:31:13.337503,0 days 00:00:01.111788,0.6070257389327818,4.756486333243471,0.04790269387980756,7,1.6334801455750354,700,0.0010761883974001764,0.05003292423633828,0.8302677303934994,COMPLETE
52,0.4145553433404787,2026-03-11 19:31:13.337503,2026-03-11 19:31:14.812139,0 days 00:00:01.474636,0.7140221374936547,4.772819088423894,0.05272626658843288,7,1.6920903680782837,850,0.0026237926876839547,0.08606422729021394,0.8342017806289486,COMPLETE
53,0.4149238505503011,2026-03-11 19:31:14.813142,2026-03-11 19:31:16.005642,0 days 00:00:01.192500,0.6584848472933433,4.640046302545492,0.04409882040202678,8,1.4072364552606387,750,0.0009488735645709711,0.044537020168716406,0.8147839859958502,COMPLETE
54,0.40416522248822695,2026-03-11 19:31:16.005642,2026-03-11 19:31:17.070849,0 days 00:00:01.065207,0.7419962894241293,4.1756254785364995,0.08270714325161638,7,2.4036433022150865,650,7.852137673040969e-05,0.11000920590616928,0.6273203111238806,COMPLETE
55,0.41850524071819695,2026-03-11 19:31:17.070849,2026-03-11 19:31:18.063457,0 days 00:00:00.992608,0.7580570939516437,4.571537176708125,0.027063628192721557,6,1.896782386326407,550,0.010144035518363168,0.01648548594875612,0.8699115772677294,COMPLETE
56,0.41442994496106006,2026-03-11 19:31:18.064458,2026-03-11 19:31:19.057551,0 days 00:00:00.993093,0.8127374254711695,3.9701483984746426,0.02776791727516841,5,1.9068130173673858,550,0.010164110308797325,0.01403063096594683,0.8648339923874359,COMPLETE
57,0.4081037469724884,2026-03-11 19:31:19.058552,2026-03-11 19:31:20.008624,0 days 00:00:00.950072,0.8655761406188359,4.560466064543411,0.0235617614451556,6,2.033815133842749,500,0.007062011893420943,0.26403268589139034,0.9095567848941415,COMPLETE
58,0.3984188621799131,2026-03-11 19:31:20.008624,2026-03-11 19:31:21.331602,0 days 00:00:01.322978,0.7742560366144761,4.270179560988387,0.15740381232799408,6,3.3527919304541682,1050,0.03651518912535165,0.010391024355524444,0.925823179867093,COMPLETE
59,0.4053654002326441,2026-03-11 19:31:21.332604,2026-03-11 19:31:22.324487,0 days 00:00:00.991883,0.7576522956623116,3.7853376391397644,0.038576315361661416,8,7.658346283890376,600,0.0048461772482855025,0.02108935029819138,0.9625967570382712,COMPLETE
