number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
11,0.4149885015540734,2026-03-11 19:31:44.551181,2026-03-11 19:31:46.341315,0 days 00:00:01.790134,0.8810796931031994,4.835968465735538,0.056309763043883326,4,1.0755591078043292,1200,1.0666978609894524e-06,0.2916399115521992,0.9962928066797128,COMPLETE
12,0.4062845744344196,2026-03-11 19:31:46.342818,2026-03-11 19:31:48.333355,0 days 00:00:01.990537,0.887098392707996,3.8596200619003547,0.04042271085612354,4,1.0218187491849875,1150,1.0438622618911357e-06,0.21600861053923426,0.9048567471031802,COMPLETE
13,0.4074381994087126,2026-03-11 19:31:48.334355,2026-03-11 19:31:48.990895,0 days 00:00:00.656540,0.9523656395806502,4.060996943297696,0.09134025383040516,4,19.96183719362055,350,2.2072033947375457e-05,0.5661324486824431,0.9942603012292255,COMPLETE
14,0.40093183462757,2026-03-11 19:31:48.990895,2026-03-11 19:31:50.771054,0 days 00:00:01.780159,0.8124496121405841,3.230258295337462,0.03716084191904715,3,2.6274194671093554,1000,0.0001134075831201766,0.06848340066415298,0.898621563278761,COMPLETE
15,0.4118422220185988,2026-03-11 19:31:50.772557,2026-03-11 19:31:51.965508,0 days 00:00:01.192951,0.8158507823291801,4.897127958863722,0.016976737385213242,5,1.617382264824003,450,4.256775901903184e-06,0.04303234469727149,0.8354320660151731,COMPLETE
16,0.41309704052331586,2026-03-11 19:31:51.966509,2026-03-11 19:31:52.933689,0 days 00:00:00.967180,0.8307796695558711,3.1424899745419905,0.015384671546585056,3,2.257661227708774,350,3.596578771556287e-06,0.039485723225536305,0.8186275927334242,COMPLETE
17,0.3872418475187528,2026-03-11 19:31:52.934690,2026-03-11 19:31:53.648704,0 days 00:00:00.714014,0.9297710084624351,3.1370991330748383,0.061983056586556604,3,2.8060003904958606,250,0.00017322416287878658,0.0013970734935405218,0.8029967056557425,COMPLETE
18,0.39568054381987483,2026-03-11 19:31:53.648704,2026-03-11 19:31:55.954786,0 days 00:00:02.306082,0.8546396554602936,1.2390159213383305,0.015410501180994867,3,2.0157962814946355,1000,4.439781302440798e-06,0.023670263034943753,0.8474060550555969,COMPLETE
19,0.372549134923179,2026-03-11 19:31:55.954786,2026-03-11 19:31:56.917684,0 days 00:00:00.962898,0.7387674037983286,2.7128866027301815,0.07998989008533844,3,3.6463632721692805,400,3.468265732582082e-06,0.1441746786786599,0.7640881690357239,COMPLETE
20,0.42165328093121823,2026-03-11 19:31:56.917684,2026-03-11 19:31:57.721859,0 days 00:00:00.804175,0.9312680351307561,4.276015159576904,0.03338917155187301,4,1.1934225792933661,300,0.019967075421978536,0.005038885802047372,0.9656480525002863,COMPLETE
21,0.41418460545669866,2026-03-11 19:31:57.721859,2026-03-11 19:31:58.453797,0 days 00:00:00.731938,0.9306199855339401,4.218050026171713,0.03524455120746147,4,1.3316102820395017,300,0.018127275777599795,0.0026465747469632287,0.9641483875889174,COMPLETE
22,0.41583300515361526,2026-03-11 19:31:58.453797,2026-03-11 19:31:59.187408,0 days 00:00:00.733611,0.9289133433450543,4.258194016164953,0.034545851340761075,4,1.3085277872360896,300,0.010951315369249932,0.004663006383783326,0.9572467375634809,COMPLETE
23,0.4164528050078041,2026-03-11 19:31:59.188409,2026-03-11 19:31:59.821047,0 days 00:00:00.632638,0.9989526092016072,4.443301358040419,0.04468085303718679,4,1.1665044625737575,200,0.01734787482868419,0.0042399887892659565,0.9520104938890753,COMPLETE
24,0.40476999765155375,2026-03-11 19:31:59.821047,2026-03-11 19:32:00.525453,0 days 00:00:00.704406,0.9872862975734061,4.416860695555195,0.030009145823805785,5,1.195633980463229,200,0.017339442098224443,0.006547114393603029,0.9525223817053685,COMPLETE
25,0.3974940745764667,2026-03-11 19:32:00.526456,2026-03-11 19:32:01.527913,0 days 00:00:01.001457,0.959546830318988,3.5957614374313356,0.049012399760298316,5,1.339776139613647,300,0.6185221658586366,0.005994742470405484,0.8688392174361135,COMPLETE
26,0.41641313883610137,2026-03-11 19:32:01.527913,2026-03-11 19:32:02.275827,0 days 00:00:00.747914,0.996391065514728,4.305473715264699,0.019657603958799067,4,1.8986409896609961,200,0.017139207059674925,0.0012627412886924531,0.9465317028483375,COMPLETE
27,0.4154530260770956,2026-03-11 19:32:02.276828,2026-03-11 19:32:03.081194,0 days 00:00:00.804366,0.9925704677742901,3.591962590156754,0.020089599676088143,4,1.8999136566220074,200,0.037701127928154166,0.0010265186490470135,0.9398160985811284,COMPLETE
28,0.41161377912943686,2026-03-11 19:32:03.082195,2026-03-11 19:32:04.045617,0 days 00:00:00.963422,0.9613547946228982,4.460067255012734,0.020474706896217703,3,3.3160571402109063,400,0.004453261523146443,0.002638255200440379,0.8722971823636438,COMPLETE
29,0.40070208078598357,2026-03-11 19:32:04.046620,2026-03-11 19:32:06.636578,0 days 00:00:02.589958,0.9977703873257537,2.773922714091569,0.010680858617372876,7,2.0883866230055528,600,0.003994358018122546,0.010282605453772305,0.87652348097131,COMPLETE
30,0.4070451379675138,2026-03-11 19:32:06.636578,2026-03-11 19:32:07.676750,0 days 00:00:01.040172,0.9142841379181685,3.6438667822292103,0.04640143022198487,6,1.733116643577841,450,0.00384377893839282,0.0015947944951582305,0.9678381778758314,COMPLETE
31,0.4179600516114757,2026-03-11 19:32:07.677750,2026-03-11 19:32:08.534601,0 days 00:00:00.856851,0.9638456556470667,4.405901111488138,0.030953029282712083,4,1.30412190011714,300,0.012560511760903685,0.005134491321191417,0.9366285880666245,COMPLETE
32,0.4156702345327504,2026-03-11 19:32:08.535602,2026-03-11 19:32:09.404501,0 days 00:00:00.868899,0.9661898941898132,4.54941316845814,0.03153432779863813,5,1.2737138342575458,250,0.0010230682067159606,0.003857483342202224,0.9279179537474694,COMPLETE
33,0.42112189213527473,2026-03-11 19:32:09.404501,2026-03-11 19:32:10.224514,0 days 00:00:00.820013,0.9667433510539367,4.009508046606849,0.020848435108580355,4,1.523123827926647,250,0.007767577800396392,0.00942015866890884,0.9792936774115915,COMPLETE
34,0.41854592870265606,2026-03-11 19:32:10.225515,2026-03-11 19:32:10.970208,0 days 00:00:00.744693,0.9047092720483375,4.034341245485125,0.044964271452287874,4,1.4863420055043122,350,0.0074886855193213794,0.019358917274305155,0.9755979817193956,COMPLETE
35,0.4155459683022732,2026-03-11 19:32:10.970208,2026-03-11 19:32:12.152627,0 days 00:00:01.182419,0.9064460828679733,3.9788562728595998,0.027015462651140867,5,1.4652231210579723,500,0.00045195425916746436,0.021083476699559137,0.9769527279722813,COMPLETE
36,0.4000302484497057,2026-03-11 19:32:12.153630,2026-03-11 19:32:12.955451,0 days 00:00:00.801821,0.780105571328708,3.5113141102557854,0.07495570570670877,8,3.1109815686180644,350,0.001827949552756827,0.008957009640226775,0.9232648081700798,COMPLETE
37,0.38497055365388866,2026-03-11 19:32:12.955451,2026-03-11 19:32:14.708559,0 days 00:00:01.753108,0.8500875499740606,0.5675986853847985,0.041247101015170845,3,7.416308240196734,700,0.03695048845915767,0.016374926870200365,0.8935105212751348,COMPLETE
