PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Brier
0.42242243283629366,0.6348714568226763,0.8783783783783784,0.30952380952380953,0.45774647887323944,0.642292490118577,0.18482202291488647
0.5739786543381096,0.7172964210001247,0.8641975308641975,0.34146341463414637,0.48951048951048953,0.6616257088846881,0.17996060848236084
0.5095206206154096,0.6709171455938696,0.8735632183908046,0.37073170731707317,0.5205479452054794,0.6871609403254972,0.19921115040779114
0.4602389030054159,0.6704316972205796,0.898876404494382,0.39215686274509803,0.5460750853242321,0.7142857142857143,0.20366457104682922
0.548756209560747,0.6721679125934445,0.8297872340425532,0.4,0.5397923875432526,0.6830122591943958,0.2077365219593048
0.47779173749595566,0.6960072595281307,0.9078947368421053,0.345,0.5,0.6845238095238095,0.18066264688968658
0.36432754283921415,0.637426077161363,0.8805970149253731,0.2757009345794392,0.4199288256227758,0.6120331950207469,0.1776905208826065
0.3867520606999002,0.6537225151086539,0.8571428571428571,0.33,0.47653429602888087,0.6496062992125984,0.1908997893333435
0.4661495046125895,0.6587889476778366,0.8222222222222222,0.37755102040816324,0.5174825174825175,0.6654676258992805,0.2086174041032791
0.549656542214366,0.7052910052910053,0.8777777777777778,0.37799043062200954,0.5284280936454849,0.6942003514938488,0.19786274433135986
0.47803289155120005,0.6292141165858609,0.8571428571428571,0.39622641509433965,0.5419354838709678,0.695364238410596,0.22290799021720886
0.4576970837118358,0.6759282026063438,0.891566265060241,0.35406698564593303,0.5068493150684932,0.6839186691312384,0.19422395527362823
0.42327757731386406,0.6211685823754789,0.8045977011494253,0.3333333333333333,0.4713804713804714,0.6272401433691757,0.2081780582666397
0.4041974964532265,0.6202838557066824,0.8539325842696629,0.37623762376237624,0.5223367697594502,0.6810035842293907,0.2126515954732895
0.4697523189716477,0.6131713554987211,0.8152173913043478,0.3488372093023256,0.48859934853420195,0.6432246998284734,0.21412239968776703
0.4907898927105501,0.6941772151898735,0.9240506329113924,0.3459715639810427,0.503448275862069,0.6925996204933587,0.18368613719940186
0.37408969077039667,0.5834798994974875,0.8125,0.3170731707317073,0.45614035087719296,0.6190476190476191,0.2023441195487976
0.5197478160645109,0.6882876633136779,0.8924731182795699,0.386046511627907,0.538961038961039,0.706984667802385,0.20620620250701904
0.5225271262057707,0.6880025125628141,0.8875,0.33649289099526064,0.4879725085910653,0.6685499058380414,0.1861664354801178
0.5646137725399765,0.6941391941391942,0.8452380952380952,0.3604060913705584,0.505338078291815,0.6660412757973734,0.18902502954006195
0.3921142833942232,0.6531991373112869,0.8769230769230769,0.27941176470588236,0.42379182156133827,0.6142241379310345,0.16984976828098297
0.4620527788355555,0.683367902514908,0.8552631578947368,0.3125,0.45774647887323944,0.634765625,0.1815185546875
0.4665347880714028,0.6426318981200727,0.8352941176470589,0.3480392156862745,0.4913494809688581,0.6525735294117647,0.20030874013900757
0.42913907751616037,0.6634810126582278,0.8607594936708861,0.3417085427135678,0.4892086330935252,0.6601941747572816,0.1912442445755005
