fraction,repeat,n_subjects,rapid_prevalence,pr_auc,roc_auc
0.3,13,333,0.3003003003003003,0.4825845672100987,0.6864774114774115
0.3,14,333,0.3003003003003003,0.41853895627905663,0.6402014652014651
0.3,15,333,0.3003003003003003,0.39297440858646615,0.6258241758241758
0.3,16,333,0.3003003003003003,0.4064743979436124,0.647924297924298
0.3,17,333,0.3003003003003003,0.4302429809854718,0.6555860805860806
0.3,18,333,0.3003003003003003,0.3949736798946578,0.6224664224664224
0.3,19,333,0.3003003003003003,0.4388289568930507,0.6492063492063492
0.3,20,333,0.3003003003003003,0.3912528939782268,0.6396520146520146
0.4,1,445,0.30112359550561796,0.42719259890956773,0.6674603174603174
0.4,2,445,0.30112359550561796,0.45224773080048913,0.635897435897436
0.4,3,445,0.30112359550561796,0.479000101970928,0.672954822954823
0.4,4,445,0.30112359550561796,0.4555711538659923,0.6466117216117216
0.4,5,445,0.30112359550561796,0.37812026414524863,0.611904761904762
0.4,6,445,0.30112359550561796,0.434939375647726,0.6597985347985348
0.4,7,445,0.30112359550561796,0.3461974654629205,0.5847985347985348
0.4,8,445,0.30112359550561796,0.4011304713470182,0.647069597069597
0.4,9,445,0.30112359550561796,0.4548209135017306,0.6741147741147742
0.4,10,445,0.30112359550561796,0.44190371548793617,0.6627899877899878
0.4,11,445,0.30112359550561796,0.44959149583240365,0.6540598290598291
0.4,12,445,0.30112359550561796,0.42797749596485113,0.6244505494505495
0.4,13,445,0.30112359550561796,0.5149474614172552,0.6859279609279609
0.4,14,445,0.30112359550561796,0.4398670825957234,0.6611721611721612
0.4,15,445,0.30112359550561796,0.4125331731367999,0.6442918192918193
0.4,16,445,0.30112359550561796,0.4060963797432111,0.6329365079365079
0.4,17,445,0.30112359550561796,0.4344976458088419,0.6773504273504274
0.4,18,445,0.30112359550561796,0.38935381411019876,0.6315934065934066
0.4,19,445,0.30112359550561796,0.464520996417798,0.6628205128205128
0.4,20,445,0.30112359550561796,0.3700571299194231,0.6036630036630036
0.5,1,556,0.30035971223021585,0.4603523768189809,0.6791208791208792
0.5,2,556,0.30035971223021585,0.45098486893634004,0.6685592185592186
0.5,3,556,0.30035971223021585,0.44869306513402396,0.6662698412698413
0.5,4,556,0.30035971223021585,0.43465721092952836,0.6385225885225885
0.5,5,556,0.30035971223021585,0.38048479159414195,0.6329059829059829
0.5,6,556,0.30035971223021585,0.4405098643595297,0.6577533577533577
0.5,7,556,0.30035971223021585,0.41439624802241604,0.6181013431013431
0.5,8,556,0.30035971223021585,0.4319776434390329,0.6548840048840049
0.5,9,556,0.30035971223021585,0.41386580462811506,0.6559218559218559
0.5,10,556,0.30035971223021585,0.45091421748226945,0.6588522588522588
0.5,11,556,0.30035971223021585,0.4578970426391068,0.6643467643467644
0.5,12,556,0.30035971223021585,0.4577700053828856,0.6414224664224665
0.5,13,556,0.30035971223021585,0.48818230525429357,0.6766788766788767
0.5,14,556,0.30035971223021585,0.4263130934104423,0.6558608058608059
0.5,15,556,0.30035971223021585,0.37804696234373225,0.6013736263736263
0.5,16,556,0.30035971223021585,0.41777464316546503,0.6501831501831502
0.5,17,556,0.30035971223021585,0.4263371570265735,0.666971916971917
0.5,18,556,0.30035971223021585,0.4115410041585358,0.6346764346764346
0.5,19,556,0.30035971223021585,0.47203188393998435,0.6772893772893772
0.5,20,556,0.30035971223021585,0.38564775726458356,0.6174297924297925
0.6,1,667,0.29985007496251875,0.4660085616897537,0.6810744810744811
0.6,2,667,0.29985007496251875,0.45892760647588393,0.6543650793650794
0.6,3,667,0.29985007496251875,0.4290312937075189,0.6594627594627595
0.6,4,667,0.29985007496251875,0.4492006648325267,0.6476190476190476
0.6,5,667,0.29985007496251875,0.4115294647266985,0.6562271062271062
0.6,6,667,0.29985007496251875,0.4538698248716155,0.6556166056166056
0.6,7,667,0.29985007496251875,0.4013476779747711,0.6180097680097679
0.6,8,667,0.29985007496251875,0.4463101128835647,0.6604395604395605
0.6,9,667,0.29985007496251875,0.4156987217384784,0.6500610500610501
0.6,10,667,0.29985007496251875,0.445885514007336,0.6637973137973139
0.6,11,667,0.29985007496251875,0.4646733671558627,0.666971916971917
0.6,12,667,0.29985007496251875,0.48456230414871776,0.6458180708180709
0.6,13,667,0.29985007496251875,0.48433730168602085,0.6826617826617827
0.6,14,667,0.29985007496251875,0.42868366289304843,0.6611111111111111
0.6,15,667,0.29985007496251875,0.4158036874673583,0.6277167277167277
0.6,16,667,0.29985007496251875,0.4328875769078135,0.6702075702075702
0.6,17,667,0.29985007496251875,0.4394038460927329,0.6700549450549451
0.6,18,667,0.29985007496251875,0.3950148570175065,0.6466422466422467
0.6,19,667,0.29985007496251875,0.47889135107124536,0.6800366300366301
0.6,20,667,0.29985007496251875,0.39640032125729363,0.6175824175824176
0.7,1,779,0.30038510911424904,0.4380546728896305,0.6554945054945054
0.7,2,779,0.30038510911424904,0.4500827980039082,0.6481074481074481
0.7,3,779,0.30038510911424904,0.44414886154351985,0.6624542124542125
0.7,4,779,0.30038510911424904,0.45428872537411574,0.6567765567765568
0.7,5,779,0.30038510911424904,0.39690172114096506,0.6283577533577533
0.7,6,779,0.30038510911424904,0.4329959325469636,0.6602564102564104
0.7,7,779,0.30038510911424904,0.41665714291708733,0.6363247863247863
0.7,8,779,0.30038510911424904,0.45205093806111457,0.6512820512820513
0.7,9,779,0.30038510911424904,0.426408597099591,0.6515262515262515
0.7,10,779,0.30038510911424904,0.4584424982439243,0.6701465201465201
0.7,11,779,0.30038510911424904,0.42989703666898044,0.6505494505494506
0.7,12,779,0.30038510911424904,0.4670500335353195,0.6586691086691088
0.7,13,779,0.30038510911424904,0.45751068044826193,0.6547619047619048
0.7,14,779,0.30038510911424904,0.41571269949777007,0.637973137973138
0.7,15,779,0.30038510911424904,0.43589946832859705,0.658058608058608
0.7,16,779,0.30038510911424904,0.4560928929828423,0.6588522588522588
0.7,17,779,0.30038510911424904,0.44150921098504015,0.6821123321123321
0.7,18,779,0.30038510911424904,0.41424965528822566,0.6613247863247863
0.7,19,779,0.30038510911424904,0.47957064166623464,0.6688034188034189
0.7,20,779,0.30038510911424904,0.4034136632949831,0.6241758241758242
0.8,1,890,0.3,0.4245363717915959,0.6459706959706959
0.8,2,890,0.3,0.4521427310201197,0.6508547008547009
0.8,3,890,0.3,0.44722462704290933,0.6663614163614163
0.8,4,890,0.3,0.4392865487859001,0.6541514041514042
0.8,5,890,0.3,0.4157069095871191,0.6491452991452992
0.8,6,890,0.3,0.43164559398551716,0.650976800976801
0.8,7,890,0.3,0.432975409131232,0.6468864468864469
0.8,8,890,0.3,0.43648814174230743,0.629059829059829
0.8,9,890,0.3,0.43420062056219355,0.6532356532356532
0.8,10,890,0.3,0.47961147785378805,0.6746031746031746
0.8,11,890,0.3,0.4578152195105592,0.6766788766788766
0.8,12,890,0.3,0.4460316329041079,0.6595238095238096
0.8,13,890,0.3,0.4571464182597853,0.6664224664224664
0.8,14,890,0.3,0.44445145739380393,0.6547008547008547
0.8,15,890,0.3,0.4222954473712359,0.6401709401709401
0.8,16,890,0.3,0.44134036067023424,0.6602564102564102
0.8,17,890,0.3,0.43213788523884356,0.6670940170940172
0.8,18,890,0.3,0.44185104842316064,0.6689865689865689
0.8,19,890,0.3,0.4418761887829532,0.6568376068376068
0.8,20,890,0.3,0.4235705576808918,0.6437118437118438
0.9,1,1001,0.2997002997002997,0.42640277468483556,0.6391330891330892
0.9,2,1001,0.2997002997002997,0.4498369790430938,0.6527472527472528
0.9,3,1001,0.2997002997002997,0.4695958086592611,0.6632478632478633
0.9,4,1001,0.2997002997002997,0.4430529241396505,0.6523199023199022
0.9,5,1001,0.2997002997002997,0.4513720246480858,0.6575396825396825
0.9,6,1001,0.2997002997002997,0.4314045709449818,0.6507936507936508
0.9,7,1001,0.2997002997002997,0.4399640683412753,0.6509157509157509
0.9,8,1001,0.2997002997002997,0.44638541682266997,0.6495115995115995
0.9,9,1001,0.2997002997002997,0.43780633485194537,0.6507326007326008
0.9,10,1001,0.2997002997002997,0.4517736423097921,0.6634310134310135
0.9,11,1001,0.2997002997002997,0.44730524842362096,0.6702075702075702
0.9,12,1001,0.2997002997002997,0.4406127086401564,0.6525641025641026
0.9,13,1001,0.2997002997002997,0.4439910053206112,0.6627594627594627
0.9,14,1001,0.2997002997002997,0.46211348496297167,0.6476800976800977
0.9,15,1001,0.2997002997002997,0.4483339919291319,0.6526862026862027
0.9,16,1001,0.2997002997002997,0.4317147544534566,0.6515262515262515
0.9,17,1001,0.2997002997002997,0.46349696137817537,0.6706959706959708
0.9,18,1001,0.2997002997002997,0.4444246166373602,0.6615995115995116
0.9,19,1001,0.2997002997002997,0.4560249100747639,0.6545177045177045
0.9,20,1001,0.2997002997002997,0.43209668094677367,0.6518315018315018
1.0,1,1113,0.3000898472596586,0.45646207840694486,0.6601343101343101
