number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
26,0.4185575148632177,2026-03-01 15:30:43.681097,2026-03-01 15:30:44.444144,0 days 00:00:00.763047,0.6506090757484941,0.01000785526655113,4,118,536,21,0.0008679756274292729,0.25955688426718987,0.9580494401332936,COMPLETE
27,0.41833256880468495,2026-03-01 15:30:44.445145,2026-03-01 15:30:45.044977,0 days 00:00:00.599832,0.809542997295991,0.013959172355136579,8,140,339,120,3.753928177739421e-05,0.0010313654795161948,0.9190440178254244,COMPLETE
28,0.40207803540822706,2026-03-01 15:30:45.045980,2026-03-01 15:30:46.342789,0 days 00:00:01.296809,0.6488593978389137,0.01905067545341399,4,81,795,45,0.015425838650937782,0.009672069331276956,0.8411677898070413,COMPLETE
29,0.38034871459258857,2026-03-01 15:30:46.343790,2026-03-01 15:30:47.340135,0 days 00:00:00.996345,0.6138862512034575,0.05159863363720195,7,112,664,76,0.0027448922553603306,0.0769213124640229,0.9696117548043555,COMPLETE
30,0.41637820141139426,2026-03-01 15:30:47.341136,2026-03-01 15:30:47.867875,0 days 00:00:00.526739,0.7163199061684711,0.013468112037963184,2,63,630,75,0.00041818647567452583,0.026403868145073627,0.9024784796313964,COMPLETE
31,0.4185664013773847,2026-03-01 15:30:47.869877,2026-03-01 15:30:48.432666,0 days 00:00:00.562789,0.6019308996008963,0.018499395656997944,5,109,399,62,0.00016804539057673498,0.004753756933563442,0.978317806849178,COMPLETE
32,0.41536886106173043,2026-03-01 15:30:48.433667,2026-03-01 15:30:49.254716,0 days 00:00:00.821049,0.6284212659977582,0.015912618697718626,6,124,510,51,0.0002747154057570566,0.008904321849951987,0.9995804411309954,COMPLETE
33,0.4192359834150425,2026-03-01 15:30:49.256719,2026-03-01 15:30:49.645152,0 days 00:00:00.388433,0.6010066415298214,0.011627095189858064,4,147,285,49,0.0014051034453267503,0.0031350003349719553,0.9666196432035387,COMPLETE
34,0.41882084082688686,2026-03-01 15:30:49.647154,2026-03-01 15:30:50.023743,0 days 00:00:00.376589,0.657659105738177,0.012180805694654455,4,149,271,17,0.0014972469314594341,0.002211898274636059,0.9235823237186894,COMPLETE
35,0.4169263675046963,2026-03-01 15:30:50.024743,2026-03-01 15:30:50.398660,0 days 00:00:00.373917,0.6249293251655477,0.022188890528381574,2,142,371,41,0.009322662253184807,0.7344908405757323,0.9596045666365352,COMPLETE
36,0.4020817772390524,2026-03-01 15:30:50.399661,2026-03-01 15:30:51.260733,0 days 00:00:00.861072,0.9414705414003753,0.029457751858933522,6,175,743,121,3.952400151530994e-05,0.014022509056028058,0.8640845674725929,COMPLETE
